,cumulative_major,cumulative_minor
2023-09-03,11.0,9.0
2023-09-04,13.0,9.0
2023-09-05,13.0,9.0
2023-09-06,13.0,9.0
2023-09-07,13.0,9.0
2023-09-08,13.0,9.0
2023-09-09,13.0,9.0
2023-09-10,13.0,9.0
2023-09-11,13.0,9.0
2023-09-12,13.0,9.0
2023-09-13,13.0,9.0
2023-09-14,13.0,9.0
2023-09-15,13.0,9.0
2023-09-16,13.0,9.0
2023-09-17,13.0,9.0
2023-09-18,13.0,9.0
2023-09-19,14.0,9.0
2023-09-20,16.0,9.0
2023-09-21,20.0,9.0
2023-09-22,24.0,11.0
2023-09-23,24.0,11.0
2023-09-24,24.0,11.0
2023-09-25,23.0,10.0
2023-09-26,23.0,10.0
2023-09-27,24.0,10.0
2023-09-28,24.0,10.0
2023-09-29,26.0,10.0
2023-09-30,26.0,10.0
2023-10-01,26.0,10.0
2023-10-02,27.0,10.0
2023-10-03,27.0,10.0
2023-10-04,28.0,10.0
2023-10-05,30.0,10.0
2023-10-05,30.0,10.0
2023-10-06,30.0,10.0
2023-10-07,30.0,10.0
2023-10-08,30.0,10.0
2023-10-09,31.0,10.0
2023-10-10,31.0,10.0
2023-10-11,32.0,10.0
2023-10-12,14.0,9.0
2023-10-13,15.0,9.0
2023-10-14,15.0,9.0
2023-10-15,15.0,9.0
2023-10-16,15.0,9.0
2023-10-17,14.0,9.0
2023-10-18,14.0,9.0
2023-10-19,16.0,9.0
2023-10-20,20.0,9.0
2023-10-21,20.0,9.0
2023-10-22,20.0,9.0
2023-10-23,22.0,9.0
2023-10-24,18.0,9.0
2023-10-25,18.0,9.0
2023-10-26,19.0,9.0
2023-10-27,20.0,9.0
2023-10-28,20.0,9.0
2023-10-29,20.0,9.0
2023-10-30,21.0,10.0
2023-10-30,22.0,11.0
2023-10-31,24.0,11.0
2023-11-01,25.0,11.0
2023-11-02,26.0,11.0
2023-11-03,26.0,11.0
2023-11-04,26.0,11.0
2023-11-05,26.0,11.0
2023-11-06,27.0,12.0
2023-11-07,27.0,12.0
2023-11-08,27.0,12.0
2023-11-09,28.0,12.0
